state,result,elector,winner,loser,Republican,Democrats,REP_C,DEM_C
Alabama,1,9,George.W.Bush,John.F.Kerry,9,,1176394,693933
Alaska,1,3,George.W.Bush,John.F.Kerry,3,,190889,111025
Arkansas,1,6,George.W.Bush,John.F.Kerry,6,,572898,469953
Arizona,1,11,George.W.Bush,John.F.Kerry,11,,1104294,893524
California,2,55,John.F.Kerry,George.W.Bush,,55,5509826,6745485
Colorado,1,9,George.W.Bush,John.F.Kerry,9,,1101255,1001732
Connecticut,2,7,John.F.Kerry,George.W.Bush,,7,693826,857488
Delaware,2,3,John.F.Kerry,George.W.Bush,,3,171660,200152
District of Columbia,2,3,John.F.Kerry,George.W.Bush,,3,21256,202970
Florida,1,29,George.W.Bush,John.F.Kerry,29,,3964522,3583544
Georgia,1,16,George.W.Bush,John.F.Kerry,16,,1914254,1366149
Hawaii,2,4,John.F.Kerry,George.W.Bush,,4,194191,231708
Iowa,1,6,George.W.Bush,John.F.Kerry,6,,751957,741898
Idaho,1,4,George.W.Bush,John.F.Kerry,4,,409235,181098
Illinois,2,20,John.F.Kerry,George.W.Bush,,20,2345946,2891550
Indiana,1,11,George.W.Bush,John.F.Kerry,11,,1479438,969011
Kansas,1,6,George.W.Bush,John.F.Kerry,6,,736456,434993
Kentucky,1,8,George.W.Bush,John.F.Kerry,8,,1069439,712733
Louisiana,1,8,George.W.Bush,John.F.Kerry,8,,1102169,820299
Maine,2,4,John.F.Kerry,George.W.Bush,,4,330201,396842
Maryland,2,10,John.F.Kerry,George.W.Bush,,10,1024703,1334493
Massachusetts,2,11,John.F.Kerry,George.W.Bush,,11,1071109,1803800
Michigan,2,16,John.F.Kerry,George.W.Bush,,16,2313746,2479183
Minnesota,2,10,John.F.Kerry,George.W.Bush,,10,1346695,1445014
Missouri,1,10,George.W.Bush,John.F.Kerry,10,,1455713,1259171
Mississippi,1,6,George.W.Bush,John.F.Kerry,6,,684981,458094
Montana,1,3,George.W.Bush,John.F.Kerry,3,,266063,173710
North Carolina,1,15,George.W.Bush,John.F.Kerry,15,,1961166,1525849
North Dakota,1,3,George.W.Bush,John.F.Kerry,3,,196651,111052
Nebraska,1,5,George.W.Bush,John.F.Kerry,5,,512814,254328
New Hampshire,2,4,John.F.Kerry,George.W.Bush,,4,331237,340511
New Jersey,2,14,John.F.Kerry,George.W.Bush,,14,1670003,1911430
New Mexico,1,5,George.W.Bush,John.F.Kerry,5,,376930,370942
Nevada,1,6,George.W.Bush,John.F.Kerry,6,,418690,397190
New York,2,29,John.F.Kerry,George.W.Bush,,29,2962567,4314280
Ohio,1,18,George.W.Bush,John.F.Kerry,18,,2859768,2741167
Oklahoma,1,7,George.W.Bush,John.F.Kerry,7,,959792,503966
Oregon,2,7,John.F.Kerry,George.W.Bush,,7,866831,943163
Pennsylvania,2,20,John.F.Kerry,George.W.Bush,,20,2793847,2938095
Rhode Island,2,4,John.F.Kerry,George.W.Bush,,4,169046,259760
South Carolina,1,9,George.W.Bush,John.F.Kerry,9,,937974,661699
South Dakota,1,3,George.W.Bush,John.F.Kerry,3,,232584,149244
Tennessee,1,11,George.W.Bush,John.F.Kerry,11,,1384375,1036477
Texas,1,38,George.W.Bush,John.F.Kerry,38,,4526917,2832704
Utah,1,6,George.W.Bush,John.F.Kerry,6,,663742,241199
Virginia,1,13,George.W.Bush,John.F.Kerry,13,,1716959,1454742
Vermont,2,3,John.F.Kerry,George.W.Bush,,3,121180,184067
Washington,2,12,John.F.Kerry,George.W.Bush,,12,1304894,1510201
Wisconsin,2,10,John.F.Kerry,George.W.Bush,,10,1478120,1489504
West Virginia,1,5,George.W.Bush,John.F.Kerry,5,,423778,326541
Wyoming,1,3,George.W.Bush,John.F.Kerry,3,,167629,70776
